Ticker,Strategy,split_count,sell_rsi,extreme_split,recession_split,neutral_split,boom_split,FinalAsset,Return,CAGR,MDD,WinRate,Trades,AvgHoldDays,ProfitFactor,IS_CAGR,OOS_CAGR,MDD_Worse,StabilityScore,OverfitRisk,Score
SOXL,rsi,8,80,6,4,2,1,41651333200.0,41551.33,45.35,-90.46,87.5,16,343.3,5.8,31.57,63.3,20.7,58.6,보통,105.42
SOXL,rsi,10,80,2,1,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,2,1,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,2,2,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,2,2,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,3,1,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,3,1,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,3,2,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,3,2,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,3,3,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,3,3,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,4,1,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,4,1,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,4,2,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,4,2,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,4,3,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,4,3,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,4,4,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,4,4,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,5,1,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,5,1,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,5,2,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,5,2,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,5,3,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,5,3,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,5,4,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,5,4,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,6,1,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,6,1,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,6,2,1,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
SOXL,rsi,10,80,6,2,2,1,39731423092.0,39631.42,44.92,-90.46,87.5,16,343.3,5.72,31.6,62.22,22.1,55.8,보통,103.23
